,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
0,matthew hawk (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,195.0,nov-62,1962.0
1,dorma (heroes reborn) (earth-616),None,None,blue eyes,auburn hair,female characters,deceased characters,8.0,dec-96,1996.0
2,victor von doom (heroes reborn) (earth-616),public identity,bad characters,None,None,male characters,living characters,9.0,nov-96,1996.0
3,sharon ventura (earth-616),secret identity,good characters,blue eyes,red hair,female characters,living characters,105.0,sep-85,1985.0
4,andrea margulies (earth-616),secret identity,None,blue eyes,blond hair,female characters,deceased characters,9.0,mar-03,2003.0
5,juno (earth-616),no dual identity,bad characters,None,bald,male characters,deceased characters,4.0,oct-75,1975.0
6,sonny tremont (earth-616),None,None,None,None,male characters,living characters,1.0,jun-81,1981.0
7,michelle warkworth (earth-616),None,bad characters,None,None,female characters,living characters,1.0,aug-77,1977.0
8,hunter (pride) (earth-616),secret identity,neutral characters,blue eyes,black hair,male characters,living characters,9.0,sep-05,2005.0
9,metzger (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,3.0,dec-08,2008.0
10,eurystheus (earth-616),None,bad characters,None,None,male characters,deceased characters,10.0,jun-05,2005.0
11,baron karza (earth-616),no dual identity,bad characters,red eyes,black hair,male characters,living characters,47.0,jan-79,1979.0
12,nina tsiolkovsky (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,5.0,oct-62,1962.0
13,gray dolman (earth-616),None,None,brown eyes,black hair,male characters,living characters,8.0,feb-99,1999.0
14,jim (security guard) (earth-616),public identity,None,None,None,male characters,living characters,1.0,jul-63,1963.0
15,jeff hagees (earth-616),secret identity,bad characters,blue eyes,red hair,male characters,deceased characters,16.0,jul-91,1991.0
16,freddie glazer (earth-616),None,None,None,None,male characters,living characters,6.0,oct-95,1995.0
17,angela bradford (earth-616),None,bad characters,None,None,female characters,living characters,2.0,sep-98,1998.0
18,whitemane (asgard) (earth-616),None,good characters,None,white hair,male characters,living characters,2.0,jan-72,1972.0
19,gorgon (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,272.0,nov-65,1965.0
20,doctor lammon (earth-616),secret identity,bad characters,None,brown hair,male characters,deceased characters,1.0,dec-45,1945.0
21,rayna piper (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,deceased characters,10.0,oct-93,1993.0
22,roberto da costa (reignfire) (earth-616),secret identity,bad characters,None,no hair,male characters,deceased characters,16.0,sep-93,1993.0
23,old billy (earth-616),no dual identity,neutral characters,None,None,male characters,living characters,1.0,mar-76,1976.0
24,henry gyrich (heroes reborn) (earth-616),no dual identity,neutral characters,None,None,male characters,living characters,4.0,nov-96,1996.0
25,wally layton (earth-616),no dual identity,good characters,grey eyes,brown hair,male characters,living characters,17.0,mar-12,2012.0
26,boyd buzzard (earth-616),None,bad characters,None,None,male characters,living characters,2.0,apr-11,2011.0
27,go vin ng (earth-616),None,neutral characters,None,black hair,male characters,living characters,2.0,may-92,1992.0
28,simon leech (earth-616),public identity,bad characters,None,black hair,male characters,deceased characters,1.0,jul-52,1952.0
29,john renwick (earth-616),no dual identity,good characters,None,None,male characters,living characters,15.0,None,None
30,dulb (earth-616),None,None,None,black hair,male characters,living characters,2.0,nov-82,1982.0
31,sovel redhand (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,13.0,mar-09,2009.0
32,stilt-man (marvel team-up) (earth-616),secret identity,bad characters,None,blond hair,male characters,living characters,5.0,aug-05,2005.0
33,first fallen (earth-616),secret identity,bad characters,variable eyes,no hair,male characters,living characters,3.0,aug-06,2006.0
34,lawrence trask (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,deceased characters,14.0,jun-69,1969.0
35,mass (freedom force) (earth-616),secret identity,neutral characters,black eyes,red hair,male characters,living characters,2.0,mar-13,2013.0
36,saint cyrus leviticus (earth-616),secret identity,bad characters,yellow eyes,white hair,male characters,living characters,3.0,nov-98,1998.0
37,wayde garrison (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,feb-69,1969.0
38,meg (magistrate) (earth-616),None,None,None,None,None,living characters,1.0,nov-88,1988.0
39,mark diering (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,4.0,dec-87,1987.0
40,silence (new wave) (earth-616),None,bad characters,None,None,female characters,living characters,3.0,nov-85,1985.0
41,big murder (earth-616),None,bad characters,None,None,male characters,living characters,5.0,None,None
42,salty smith (earth-616),public identity,good characters,None,blond hair,male characters,living characters,13.0,aug-54,1954.0
43,nakh (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,oct-10,2010.0
44,bridget malone (earth-616),secret identity,bad characters,blue eyes,blond hair,female characters,living characters,7.0,nov-99,1999.0
45,jason wyngarde (earth-616),secret identity,bad characters,brown eyes,grey hair,male characters,deceased characters,121.0,mar-64,1964.0
46,astrid bloom (earth-616),no dual identity,bad characters,brown eyes,black hair,female characters,living characters,5.0,oct-04,2004.0
47,zhilla char (earth-616),secret identity,bad characters,None,green hair,female characters,living characters,1.0,feb-89,1989.0
48,scab (starkey) (earth-616),secret identity,good characters,red eyes,bald,male characters,deceased characters,6.0,nov-99,1999.0
49,hagar (earth-616),secret identity,bad characters,green eyes,no hair,male characters,living characters,2.0,may-79,1979.0
50,todd keller (earth-616),no dual identity,neutral characters,green eyes,blond hair,male characters,living characters,4.0,mar-10,2010.0
51,robin braxton (earth-616),public identity,neutral characters,green eyes,red hair,female characters,living characters,18.0,mar-86,1986.0
52,banca rech (earth-616),public identity,None,white eyes,black hair,female characters,living characters,6.0,sep-86,1986.0
53,arlok (earth-616),no dual identity,good characters,None,black hair,male characters,deceased characters,4.0,jul-81,1981.0
54,elizabeth benning (earth-616),None,neutral characters,None,None,female characters,living characters,9.0,nov-07,2007.0
55,butterfly (avatars) (earth-616),secret identity,bad characters,None,black hair,female characters,living characters,8.0,dec-94,1994.0
56,broken blade (earth-616),secret identity,neutral characters,red eyes,black hair,female characters,living characters,6.0,sep-10,2010.0
57,night raven (vigilante) (earth-616),secret identity,good characters,grey eyes,bald,male characters,living characters,84.0,mar-79,1979.0
58,chan liuchow (earth-616),public identity,good characters,None,black hair,male characters,living characters,5.0,oct-61,1961.0
59,adam peters (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,living characters,1.0,jun-88,1988.0
60,rupert holloway (earth-616),no dual identity,None,None,None,male characters,deceased characters,2.0,dec-88,1988.0
61,arnold kaminsky (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,may-87,1987.0
62,bull dawson (earth-616),public identity,good characters,None,black hair,male characters,living characters,2.0,oct-41,1941.0
63,commissar (android) (earth-616),public identity,bad characters,None,None,None,deceased characters,2.0,jul-65,1965.0
64,rudolf parsons (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,1.0,may-42,1942.0
65,kingo sunen (earth-616),public identity,good characters,None,black hair,male characters,living characters,18.0,may-77,1977.0
66,calvin rankin (earth-616),None,good characters,brown eyes,brown hair,male characters,living characters,67.0,apr-66,1966.0
